,collisions,step,episode,reward
378,6.0,22084,379,-66755.5
379,11.0,22139,380,-38059.5
380,8.0,22195,381,-28919.0
381,9.0,22265,382,-24889.5
382,3.0,22339,383,-27437.0
383,5.0,22376,384,-44949.0
384,13.0,22448,385,-27557.0
385,9.0,22519,386,-30811.0
386,8.0,22594,387,-29349.0
387,7.0,22655,388,-29271.5
388,10.0,22712,389,-27061.0
389,8.0,22772,390,-31189.5
390,6.0,22819,391,-38350.5
391,10.0,22882,392,-32742.0
392,3.0,22924,393,-36423.0
393,14.0,22992,394,-29597.0
394,6.0,23048,395,-28427.5
395,8.0,23124,396,-25378.5
396,6.0,23166,397,-43089.5
397,6.0,23215,398,-37635.0
398,9.0,23280,399,-28563.5
399,5.0,23341,400,-33080.0
400,16.0,23419,401,-46184.0
401,11.0,23490,402,-31191.0
402,7.0,23556,403,-29345.0
403,7.0,23628,404,-60868.0
404,6.0,23675,405,-30071.5
405,4.0,23724,406,-46674.0
406,10.0,23802,407,-31254.0
407,6.0,23865,408,-35158.0
408,4.0,23906,409,-46901.0
409,3.0,23952,410,-33156.5
410,7.0,24013,411,-27252.5
411,6.0,24075,412,-34561.5
412,8.0,24131,413,-28624.0
413,5.0,24195,414,-33660.5
414,6.0,24259,415,-28592.0
415,4.0,24302,416,-35398.5
416,5.0,24367,417,-27580.5
417,5.0,24423,418,-30401.5
418,4.0,24464,419,-38437.0
419,6.0,24505,420,-45641.5
420,11.0,24578,421,-25062.0
421,13.0,24650,422,-27151.5
422,6.0,24706,423,-31042.0
423,7.0,24747,424,-36410.0
424,9.0,24807,425,-38293.0
425,4.0,24868,426,-31448.5
426,0.0,24900,427,-46978.0
427,5.0,24952,428,-36802.5
428,6.0,25023,429,-26857.5
429,7.0,25081,430,-28686.0
430,9.0,25149,431,-31245.5
431,9.0,25213,432,-33318.0
432,8.0,25265,433,-35881.5
433,11.0,25332,434,-34726.5
434,4.0,25382,435,-32901.5
435,15.0,25448,436,-28928.5
436,5.0,25507,437,-32313.5
437,9.0,25570,438,-25988.5
438,4.0,25609,439,-36911.5
439,3.0,25663,440,-33701.5
440,5.0,25721,441,-68975.5
441,15.0,25794,442,-26446.5
442,8.0,25870,443,-25434.0
443,8.0,25933,444,-30177.5
444,7.0,25972,445,-44177.0
445,3.0,26018,446,-35129.0
446,4.0,26087,447,-28701.5
447,3.0,26136,448,-31748.5
448,6.0,26184,449,-36713.0
449,7.0,26231,450,-30290.0
450,6.0,26299,451,-29510.5
451,4.0,26361,452,-27263.0
452,3.0,26405,453,-32789.0
453,6.0,26461,454,-31553.0
454,5.0,26519,455,-27820.5
455,4.0,26565,456,-37358.5
456,6.0,26636,457,-48275.0
457,4.0,26678,458,-34241.0
458,3.0,26740,459,-28765.5
459,12.0,26810,460,-31267.5
460,8.0,26880,461,-28154.0
461,4.0,26946,462,-22981.0
462,6.0,27007,463,-27592.0
463,12.0,27079,464,-25739.5
464,4.0,27133,465,-33154.0
465,7.0,27181,466,-35589.0
466,10.0,27246,467,-29185.5
467,14.0,27315,468,-29118.0
468,7.0,27362,469,-34345.0
469,7.0,27430,470,-33744.0
470,9.0,27509,471,-24804.0
471,12.0,27573,472,-29193.0
472,9.0,27622,473,-33089.5
473,3.0,27680,474,-27959.0
474,11.0,27737,475,-32777.0
475,4.0,27775,476,-48006.5
476,9.0,27832,477,-28597.5
477,7.0,27904,478,-29182.0
478,9.0,27958,479,-37909.0
479,5.0,28029,480,-46338.5
480,9.0,28106,481,-26450.5
481,6.0,28162,482,-39535.0
482,5.0,28222,483,-30291.5
483,8.0,28288,484,-37888.5
484,7.0,28337,485,-40505.5
485,9.0,28407,486,-30775.5
486,5.0,28483,487,-47487.5
487,7.0,28525,488,-36421.5
488,8.0,28566,489,-36679.0
489,3.0,28625,490,-27017.0
490,8.0,28681,491,-33202.5
491,8.0,28728,492,-37485.0
492,5.0,28775,493,-33072.0
493,10.0,28847,494,-25436.5
494,9.0,28899,495,-35353.5
495,6.0,28959,496,-31258.0
496,5.0,29021,497,-33898.0
497,5.0,29058,498,-39813.5
498,9.0,29105,499,-36189.5
499,9.0,29163,500,-34433.0
500,4.0,29205,501,-33384.0
501,5.0,29244,502,-42211.0
502,4.0,29280,503,-47941.0
503,6.0,29335,504,-30476.0
504,3.0,29380,505,-38160.5
505,11.0,29445,506,-29533.0
506,7.0,29493,507,-35999.0
507,7.0,29569,508,-27058.5
508,6.0,29609,509,-41671.0
509,9.0,29676,510,-30365.5
510,4.0,29720,511,-35819.0
511,14.0,29795,512,-30485.0
512,6.0,29857,513,-30879.0
513,3.0,29912,514,-31797.0
514,7.0,29991,515,-25474.5
515,14.0,30070,516,-28956.5
516,6.0,30126,517,-36085.0
517,10.0,30204,518,-31934.0
518,16.0,30274,519,-28123.0
519,7.0,30319,520,-35977.5
520,6.0,30387,521,-28999.0
521,7.0,30450,522,-33819.5
522,2.0,30538,523,-58315.0
523,4.0,30616,524,-33836.5
524,12.0,30690,525,-28391.0
525,10.0,30757,526,-32879.0
526,12.0,30825,527,-30011.0
527,8.0,30892,528,-30581.0
528,9.0,30953,529,-42417.0
529,4.0,31015,530,-30482.0
530,3.0,31091,531,-26513.0
531,6.0,31152,532,-31614.5
532,7.0,31223,533,-31413.5
533,7.0,31298,534,-27833.0
534,5.0,31370,535,-29209.0
535,6.0,31409,536,-43103.5
536,7.0,31469,537,-29085.5
537,4.0,31544,538,-27197.5
538,12.0,31616,539,-28819.5
539,10.0,31679,540,-33349.0
540,8.0,31748,541,-28223.5
541,9.0,31817,542,-24877.0
542,7.0,31866,543,-37988.5
543,4.0,31912,544,-40204.0
544,12.0,31985,545,-30111.5
545,5.0,32043,546,-31974.0
546,3.0,32107,547,-31631.0
547,3.0,32154,548,-36485.0
548,4.0,32207,549,-40424.0
549,9.0,32289,550,-26331.5
550,8.0,32362,551,-32272.0
551,9.0,32429,552,-31285.0
552,18.0,32509,553,-27262.5
553,9.0,32577,554,-29704.5
554,11.0,32646,555,-31827.0
555,7.0,32695,556,-38577.0
556,11.0,32770,557,-31413.0
557,11.0,32836,558,-37102.0
558,11.0,32894,559,-43139.0
559,11.0,32960,560,-29626.5
560,7.0,33026,561,-30252.5
561,8.0,33092,562,-27881.5
562,10.0,33167,563,-32615.0
563,9.0,33242,564,-27737.5
564,10.0,33306,565,-32692.0
565,7.0,33375,566,-35131.5
566,6.0,33433,567,-37693.0
567,5.0,33485,568,-35693.0
568,10.0,33563,569,-27170.5
569,11.0,33636,570,-29841.5
570,5.0,33715,571,-26181.0
571,7.0,33795,572,-29467.0
572,6.0,33860,573,-36450.5
573,3.0,33928,574,-28345.5
574,10.0,33997,575,-29893.5
575,5.0,34063,576,-31421.0
576,14.0,34122,577,-33930.5
577,7.0,34194,578,-28292.0
578,4.0,34263,579,-27952.0
579,1.0,34331,580,-26499.5
580,7.0,34385,581,-35941.5
581,7.0,34458,582,-30140.5
582,5.0,34517,583,-33751.5
583,11.0,34590,584,-34378.5
584,11.0,34660,585,-29447.5
585,11.0,34734,586,-28108.0
586,4.0,34791,587,-33151.0
587,12.0,34863,588,-26720.0
588,7.0,34936,589,-28555.5
589,11.0,35012,590,-26954.5
590,10.0,35088,591,-31350.0
591,7.0,35159,592,-34484.0
592,5.0,35209,593,-35209.0
593,6.0,35266,594,-39847.5
594,6.0,35329,595,-32383.0
595,6.0,35399,596,-40881.5
596,4.0,35454,597,-32745.0
597,8.0,35512,598,-33558.5
598,6.0,35568,599,-31743.5
599,2.0,35623,600,-34440.0
600,14.0,35696,601,-34409.5
601,4.0,35740,602,-42594.5
602,3.0,35797,603,-30037.5
603,7.0,35871,604,-30253.5
604,6.0,35921,605,-36319.0
605,5.0,35989,606,-28351.0
606,6.0,36037,607,-35077.5
607,13.0,36108,608,-32695.5
608,6.0,36152,609,-45351.5
609,9.0,36223,610,-31131.5
610,6.0,36282,611,-35257.5
611,6.0,36328,612,-42005.5
612,4.0,36369,613,-45817.0
613,9.0,36432,614,-30353.0
614,3.0,36490,615,-38071.5
615,7.0,36558,616,-34795.0
616,8.0,36616,617,-34461.0
617,5.0,36670,618,-36173.5
618,8.0,36721,619,-32749.0
619,7.0,36766,620,-38594.0
620,3.0,36809,621,-40390.5
621,8.0,36855,622,-41014.5
622,4.0,36902,623,-34586.0
623,8.0,36962,624,-32927.0
624,3.0,37004,625,-44051.0
625,6.0,37068,626,-29839.5
626,6.0,37114,627,-37828.5
627,9.0,37172,628,-36708.5
628,5.0,37221,629,-41231.5
629,7.0,37288,630,-37504.0
630,4.0,37332,631,-42114.5
631,6.0,37384,632,-33297.5
632,9.0,37431,633,-42688.5
633,6.0,37487,634,-26811.5
634,2.0,37542,635,-38781.5
635,6.0,37595,636,-33027.5
636,6.0,37637,637,-46157.5
637,6.0,37694,638,-34809.0
638,11.0,37765,639,-33553.0
639,6.0,37811,640,-37219.5
640,3.0,37874,641,-29034.0
641,4.0,37931,642,-32211.0
642,5.0,37979,643,-41427.0
643,4.0,38017,644,-40769.0
644,14.0,38097,645,-33775.5
645,5.0,38148,646,-32852.0
646,7.0,38218,647,-29409.0
647,12.0,38289,648,-33077.5
648,5.0,38337,649,-36344.5
649,9.0,38396,650,-34476.0
650,6.0,38451,651,-32928.0
651,8.0,38506,652,-33487.5
652,6.0,38558,653,-31685.5
653,5.0,38615,654,-32190.0
654,7.0,38678,655,-38171.5
655,9.0,38728,656,-33992.0
656,7.0,38777,657,-37088.5
657,5.0,38829,658,-36020.5
658,6.0,38873,659,-41605.5
659,8.0,38936,660,-35878.0
660,3.0,38975,661,-46590.0
661,5.0,39017,662,-41363.0
662,6.0,39078,663,-30951.0
663,7.0,39125,664,-39325.0
664,6.0,39180,665,-29049.5
665,6.0,39230,666,-38382.5
666,5.0,39292,667,-29734.5
667,7.0,39348,668,-33174.0
668,7.0,39408,669,-33062.5
669,14.0,39471,670,-32817.5
670,6.0,39530,671,-31619.0
671,7.0,39587,672,-35987.0
672,2.0,39629,673,-46070.5
673,4.0,39669,674,-42315.5
674,3.0,39719,675,-39254.0
675,8.0,39785,676,-35376.5
676,6.0,39836,677,-31737.0
677,8.0,39878,678,-41753.5
678,2.0,39927,679,-36679.5
679,8.0,39998,680,-34143.5
680,10.0,40066,681,-31930.0
681,7.0,40120,682,-37648.0
682,9.0,40186,683,-33616.0
683,12.0,40251,684,-34730.5
684,2.0,40295,685,-43093.0
685,5.0,40340,686,-50753.5
686,12.0,40402,687,-37477.0
687,1.0,40454,688,-39310.5
688,6.0,40496,689,-45941.0
689,8.0,40559,690,-28397.5
690,5.0,40602,691,-50959.5
691,5.0,40640,692,-45339.5
692,12.0,40688,693,-44852.0
693,17.0,40755,694,-35624.5
694,3.0,40811,695,-41620.5
695,4.0,40875,696,-30309.5
696,4.0,40914,697,-46179.5
697,8.0,40983,698,-30107.5
698,3.0,41037,699,-40295.0
699,4.0,41079,700,-46799.5
700,5.0,41144,701,-30054.5
701,2.0,41192,702,-40235.5
702,7.0,41246,703,-46451.5
703,4.0,41300,704,-39860.5
704,6.0,41347,705,-37714.0
705,3.0,41394,706,-39460.5
706,10.0,41462,707,-30095.5
707,8.0,41527,708,-30101.0
708,10.0,41614,709,-26396.0
709,5.0,41673,710,-47812.5
710,14.0,41746,711,-29821.0
711,10.0,41801,712,-32749.0
712,9.0,41869,713,-34349.5
713,10.0,41912,714,-36782.5
714,7.0,41974,715,-32812.5
715,6.0,42035,716,-32389.5
716,3.0,42090,717,-34905.0
717,1.0,42133,718,-38610.0
718,9.0,42182,719,-35205.5
719,5.0,42245,720,-31162.5
720,3.0,42296,721,-32344.5
721,9.0,42367,722,-31415.5
722,8.0,42449,723,-29353.0
723,5.0,42507,724,-30397.5
724,3.0,42550,725,-39155.5
725,8.0,42615,726,-31037.5
726,7.0,42662,727,-38989.0
727,9.0,42712,728,-37819.0
728,4.0,42777,729,-34964.5
729,4.0,42824,730,-42394.5
730,2.0,42889,731,-28035.0
731,5.0,42936,732,-43186.0
732,5.0,42975,733,-43933.0
733,5.0,43038,734,-40370.0
734,4.0,43090,735,-36654.5
735,3.0,43146,736,-32761.5
736,4.0,43193,737,-42032.5
737,7.0,43264,738,-32738.0
738,5.0,43328,739,-28852.5
