,collisions,step,episode_steps,reward,wait_average,accumulated_wait,throughput,stops
114,39.0,9038,111,-130931.5,73.10524846454494,130931.5,1791,0.8888888888888888
115,39.0,9147,109,-158871.0,88.0659645232816,158871.0,1804,0.8963414634146342
116,34.0,9263,116,-187141.0,103.96722222222222,187141.0,1800,0.9311111111111111
117,33.0,9372,109,-218602.0,119.97914379802415,218602.0,1822,0.9132821075740944
118,37.0,9505,133,-238821.5,133.71864501679732,238821.5,1786,0.9025755879059351
119,45.0,9625,120,-124858.5,70.18465430016863,124858.5,1779,0.880831928049466
120,50.0,9754,129,-220434.5,123.21660145332588,220434.5,1789,0.8842929010620458
121,36.0,9868,114,-221491.5,122.37099447513812,221491.5,1810,0.9259668508287293
122,41.0,10008,140,-239594.0,132.96004439511654,239594.0,1802,0.8718091009988901
123,55.0,10115,107,-137465.5,77.22780898876404,137465.5,1780,0.8831460674157303
124,44.0,10219,104,-111370.0,62.9920814479638,111370.0,1768,0.8800904977375565
125,31.0,10318,99,-130188.5,75.86742424242425,130188.5,1716,0.865967365967366
126,34.0,10405,87,-241702.5,141.34649122807016,241702.5,1710,0.7783625730994153
127,29.0,10505,100,-190152.0,107.12788732394367,190152.0,1775,0.8845070422535212
128,46.0,10586,81,-146400.5,85.21565774155995,146400.5,1718,0.7677532013969732
129,32.0,10664,78,-216951.0,125.91468369123622,216951.0,1723,0.791642484039466
130,40.0,10735,71,-178819.5,102.59294320137694,178819.5,1743,0.7848537005163512
131,31.0,10843,108,-153111.0,85.01443642420877,153111.0,1801,0.8811771238200999
132,45.0,10929,86,-176204.0,104.82093991671624,176204.0,1681,0.8530636525877454
133,35.0,10993,64,-188664.5,110.65366568914956,188664.5,1705,0.8099706744868035
134,30.0,11072,79,-322740.5,181.51884139482564,322740.5,1778,0.8678290213723284
135,39.0,11149,77,-283717.5,157.01023796347536,283717.5,1807,0.805201992252352
136,37.0,11265,116,-337353.0,190.05802816901408,337353.0,1775,0.8061971830985916
137,35.0,11356,91,-596020.0,338.0714690867839,596020.0,1763,0.784458309699376
138,39.0,11445,89,-467932.0,266.62792022792024,467932.0,1755,0.878062678062678
139,35.0,11545,100,-718165.0,389.24932249322495,718165.0,1845,0.9018970189701897
140,25.0,11713,168,-632297.5,356.6257755217146,632297.5,1773,0.8448956570783982
141,31.0,11872,159,-468796.5,261.16796657381616,468796.5,1795,0.9086350974930362
142,21.0,11982,110,-579707.5,323.3170663692136,579707.5,1793,0.7668711656441718
143,31.0,12060,78,-268908.0,155.16907097518754,268908.0,1733,0.8072706289671091
144,28.0,12175,115,-633874.5,369.6061224489796,633874.5,1715,0.7795918367346939
145,42.0,12288,113,-347123.5,192.41879157427937,347123.5,1804,0.906319290465632
146,37.0,12405,117,-429283.5,235.4818979703785,429283.5,1823,0.8968732857926495
147,27.0,12697,292,-512054.5,280.7316337719298,512054.5,1824,0.9177631578947368
148,51.0,12801,104,-299485.5,171.03683609366075,299485.5,1751,0.8812107367218732
149,48.0,12983,182,-324830.0,182.89977477477478,324830.0,1776,0.8406531531531531
150,24.0,13149,166,-271923.5,158.55597667638483,271923.5,1715,0.8664723032069971
151,43.0,13249,100,-256526.0,151.075382803298,256526.0,1698,0.7756183745583038
152,39.0,13381,132,-209061.5,116.14527777777778,209061.5,1800,0.9527777777777777
153,42.0,13618,237,-427494.5,242.20651558073655,427494.5,1765,0.9161473087818697
154,32.0,13794,176,-430187.0,250.83790087463558,430187.0,1715,0.8956268221574344
155,24.0,13948,154,-434613.0,244.5768148564997,434613.0,1777,0.9206527855936972
156,37.0,14149,201,-545858.5,293.94641895530424,545858.5,1857,0.9127625201938611
157,30.0,14355,206,-547048.0,312.5988571428571,547048.0,1750,0.9417142857142857
158,23.0,14523,168,-508330.5,300.4317375886525,508330.5,1692,0.956855791962175
159,23.0,14700,177,-248246.0,146.02705882352942,248246.0,1700,0.9247058823529412
160,39.0,14951,251,-401850.0,219.71022416621105,401850.0,1829,0.9032258064516129
161,19.0,15248,297,-670686.5,392.9036321031049,670686.5,1707,0.9302870533099004
162,39.0,15449,201,-485430.0,283.04956268221576,485430.0,1715,0.9422740524781341
163,36.0,15646,197,-568897.5,312.4093904448105,568897.5,1821,0.9214717188358045
164,28.0,15940,294,-552786.5,324.40522300469485,552786.5,1704,0.9559859154929577
165,27.0,16159,219,-663336.5,372.24270482603816,663336.5,1782,0.9242424242424242
166,32.0,16354,195,-815657.0,455.67430167597763,815657.0,1790,0.9435754189944134
167,30.0,16485,131,-589675.0,329.79586129753915,589675.0,1788,0.7265100671140939
168,23.0,16664,179,-595824.0,321.8930307941653,595824.0,1851,0.9643435980551054
169,6.0,16858,194,-569586.0,311.589715536105,569586.0,1828,0.9589715536105032
170,54.0,17027,169,-977013.5,533.8871584699453,977013.5,1830,0.7928961748633879
171,26.0,17207,180,-728249.0,411.4401129943503,728249.0,1770,0.7468926553672316
172,31.0,17343,136,-626443.0,349.5775669642857,626443.0,1792,0.9782366071428571
173,23.0,17477,134,-486539.5,281.3993637941006,486539.5,1729,0.7657605552342395
174,45.0,17796,319,-643237.0,348.0719696969697,643237.0,1848,0.9031385281385281
175,28.0,18043,247,-656352.5,375.05857142857144,656352.5,1750,0.9285714285714286
176,26.0,18247,204,-693119.5,392.9248866213152,693119.5,1764,0.9455782312925171
177,25.0,18416,169,-919071.0,516.042111173498,919071.0,1781,0.7686692869174621
178,30.0,18781,365,-971598.0,542.7921787709497,971598.0,1790,0.9340782122905028
179,33.0,18998,217,-494930.0,296.0107655502392,494930.0,1672,0.8696172248803827
180,42.0,19304,306,-899248.5,538.4721556886227,899248.5,1670,0.9497005988023952
181,22.0,19373,69,-337216.5,185.89663726571115,337216.5,1814,0.8594266813671444
182,21.0,19572,199,-675099.0,360.6298076923077,675099.0,1872,0.8723290598290598
183,51.0,19812,240,-682273.0,383.51489600899384,682273.0,1779,0.8785834738617201
184,24.0,20089,277,-1262532.5,694.0805387575591,1262532.5,1819,0.8361737218251787
185,34.0,20298,209,-920545.5,509.99750692520774,920545.5,1805,0.785595567867036
186,26.0,20376,78,-342327.5,188.09203296703296,342327.5,1820,0.8615384615384616
187,30.0,20808,432,-1426097.0,828.1631823461091,1426097.0,1722,0.8013937282229965
188,32.0,21012,204,-661964.0,382.19630484988454,661964.0,1732,0.9295612009237876
189,26.0,21242,230,-614887.0,343.12890625,614887.0,1792,0.9386160714285714
190,20.0,21370,128,-467142.5,252.6460248783126,467142.5,1849,0.9226608977825852
191,26.0,21542,172,-388162.0,219.54864253393666,388162.0,1768,0.9032805429864253
192,50.0,21832,290,-653439.5,356.68094978165936,653439.5,1832,0.9061135371179039
193,41.0,21993,161,-421162.0,232.5577029265599,421162.0,1811,0.9447818884594147
