,collisions,step,episode,reward
531,14.0,30167,532,-26833.0
532,8.0,30237,533,-34919.5
533,8.0,30301,534,-30727.0
534,8.0,30356,535,-34475.5
535,5.0,30404,536,-33865.5
536,8.0,30468,537,-31273.0
537,6.0,30536,538,-29503.5
538,8.0,30603,539,-31028.5
539,6.0,30659,540,-34819.0
540,12.0,30728,541,-32758.0
541,6.0,30770,542,-39116.0
542,6.0,30826,543,-29569.0
543,7.0,30892,544,-28448.5
544,6.0,30957,545,-30420.0
545,5.0,31023,546,-29771.5
546,9.0,31094,547,-31236.0
547,6.0,31158,548,-28663.0
548,5.0,31220,549,-26688.5
549,3.0,31275,550,-33182.0
550,1.0,31324,551,-30379.0
551,5.0,31382,552,-31853.0
552,8.0,31431,553,-33335.0
553,9.0,31502,554,-29813.5
554,5.0,31557,555,-32513.5
555,8.0,31614,556,-28960.5
556,6.0,31665,557,-37842.5
557,2.0,31705,558,-45734.0
558,8.0,31766,559,-28791.5
559,7.0,31838,560,-32136.0
560,2.0,31901,561,-29262.0
561,6.0,31958,562,-32506.0
562,8.0,32024,563,-31219.5
563,11.0,32090,564,-28316.5
564,3.0,32151,565,-26898.0
565,7.0,32199,566,-32611.0
566,4.0,32257,567,-33940.5
567,8.0,32312,568,-35426.5
568,7.0,32374,569,-27938.5
569,7.0,32433,570,-28551.0
570,4.0,32482,571,-45348.5
571,6.0,32538,572,-31310.5
572,7.0,32604,573,-28338.5
573,8.0,32644,574,-44821.5
574,4.0,32692,575,-40203.5
575,5.0,32740,576,-35461.0
576,2.0,32785,577,-36006.0
577,9.0,32843,578,-33969.0
578,1.0,32908,579,-26802.0
579,4.0,32947,580,-41982.5
580,5.0,32995,581,-35537.5
581,9.0,33066,582,-28577.5
582,5.0,33104,583,-47042.5
583,7.0,33167,584,-25608.0
584,6.0,33230,585,-34725.5
585,17.0,33324,586,-64114.5
586,3.0,33390,587,-30549.5
587,11.0,33446,588,-32847.5
588,4.0,33494,589,-36187.0
589,4.0,33570,590,-26855.5
590,2.0,33626,591,-28722.5
591,7.0,33668,592,-40323.5
592,7.0,33720,593,-33987.0
593,6.0,33782,594,-32232.5
594,17.0,33845,595,-32286.5
595,4.0,33883,596,-46023.5
596,4.0,33929,597,-36200.5
597,7.0,33986,598,-32267.0
598,8.0,34053,599,-31429.0
599,4.0,34098,600,-37234.0
600,8.0,34140,601,-42502.0
601,6.0,34205,602,-27284.0
602,6.0,34262,603,-30931.5
603,7.0,34322,604,-35050.5
604,5.0,34384,605,-31548.0
605,8.0,34448,606,-29951.0
606,5.0,34491,607,-39017.5
607,5.0,34528,608,-49881.5
608,6.0,34568,609,-43160.5
609,7.0,34631,610,-33174.0
610,8.0,34682,611,-39113.5
611,3.0,34736,612,-34931.0
612,5.0,34776,613,-38982.0
613,2.0,34824,614,-39857.5
614,5.0,34870,615,-42061.5
615,3.0,34917,616,-35625.5
616,6.0,34970,617,-36559.0
617,11.0,35033,618,-34277.0
618,5.0,35091,619,-38117.5
619,3.0,35150,620,-34285.5
620,9.0,35208,621,-36787.0
621,6.0,35250,622,-40190.5
622,7.0,35306,623,-31017.5
623,3.0,35369,624,-29954.0
624,9.0,35428,625,-29210.0
625,6.0,35491,626,-32149.5
626,7.0,35539,627,-40598.0
627,8.0,35598,628,-37265.5
628,5.0,35659,629,-26915.0
629,7.0,35722,630,-31972.5
630,4.0,35775,631,-41391.5
631,7.0,35827,632,-32111.0
632,1.0,35899,633,-26925.0
633,9.0,35969,634,-27502.5
634,7.0,36006,635,-45305.0
635,7.0,36079,636,-31199.5
636,4.0,36125,637,-40872.5
637,2.0,36172,638,-34453.5
638,9.0,36233,639,-32284.0
639,7.0,36274,640,-36877.5
640,6.0,36330,641,-29837.5
641,4.0,36371,642,-39996.0
642,8.0,36441,643,-30087.5
643,8.0,36491,644,-33502.0
644,2.0,36538,645,-41330.5
645,4.0,36583,646,-39664.5
646,3.0,36628,647,-35758.0
647,5.0,36690,648,-28613.5
648,9.0,36754,649,-34085.5
649,4.0,36801,650,-34028.0
650,9.0,36861,651,-33482.5
651,5.0,36965,652,-75275.0
652,4.0,37027,653,-30223.5
653,6.0,37088,654,-28687.5
654,2.0,37124,655,-48875.0
655,10.0,37177,656,-32564.0
656,7.0,37224,657,-44249.5
657,9.0,37274,658,-43562.0
658,7.0,37315,659,-40283.5
659,4.0,37368,660,-32038.0
660,2.0,37412,661,-39807.5
661,11.0,37472,662,-30594.5
662,9.0,37526,663,-35868.0
663,7.0,37582,664,-50322.0
664,5.0,37642,665,-38233.0
665,6.0,37696,666,-47170.5
666,3.0,37739,667,-36416.5
667,8.0,37808,668,-30832.0
668,5.0,37861,669,-34595.5
669,7.0,37905,670,-48998.0
670,3.0,37950,671,-38728.5
671,8.0,38009,672,-32000.5
672,6.0,38064,673,-31282.5
673,4.0,38113,674,-33641.5
674,9.0,38181,675,-29156.5
675,7.0,38229,676,-37225.0
676,7.0,38296,677,-29433.0
677,4.0,38343,678,-39811.5
678,7.0,38400,679,-33588.5
679,7.0,38447,680,-35459.0
680,8.0,38509,681,-33006.0
681,8.0,38576,682,-34649.0
682,4.0,38621,683,-36072.5
683,7.0,38682,684,-31392.0
684,7.0,38746,685,-31446.5
685,6.0,38810,686,-28456.0
686,6.0,38887,687,-30422.0
687,7.0,38937,688,-41314.0
688,3.0,38992,689,-30534.5
689,9.0,39054,690,-32528.5
690,5.0,39109,691,-31608.5
691,9.0,39156,692,-41145.5
692,7.0,39203,693,-39664.0
693,9.0,39260,694,-43584.5
694,5.0,39311,695,-37039.0
695,5.0,39361,696,-40772.5
696,7.0,39429,697,-31509.5
697,2.0,39471,698,-38351.5
698,4.0,39530,699,-29114.5
699,6.0,39593,700,-32982.0
700,6.0,39660,701,-29912.0
701,7.0,39730,702,-30401.0
702,10.0,39787,703,-37168.5
703,5.0,39852,704,-30575.0
704,10.0,39925,705,-31262.5
705,8.0,39969,706,-42338.5
706,9.0,40035,707,-32183.5
707,8.0,40082,708,-36123.0
708,5.0,40142,709,-29465.5
709,10.0,40211,710,-34101.0
710,1.0,40266,711,-40004.0
711,4.0,40327,712,-30623.5
712,12.0,40399,713,-29466.5
713,4.0,40447,714,-33768.5
714,14.0,40510,715,-30275.5
715,5.0,40567,716,-29430.5
716,9.0,40618,717,-34172.0
717,6.0,40684,718,-30382.5
718,5.0,40732,719,-36630.5
719,3.0,40774,720,-35957.5
720,11.0,40831,721,-34378.0
721,6.0,40897,722,-32199.5
722,5.0,40946,723,-36928.5
723,7.0,41015,724,-30114.0
724,3.0,41062,725,-39386.5
725,5.0,41135,726,-28606.5
726,9.0,41202,727,-39885.0
727,6.0,41247,728,-36052.0
728,4.0,41315,729,-31600.5
729,3.0,41376,730,-31321.5
730,9.0,41418,731,-44603.5
731,6.0,41464,732,-36131.5
732,5.0,41519,733,-33010.5
733,9.0,41567,734,-44190.0
734,6.0,41622,735,-29021.0
735,5.0,41680,736,-47526.0
736,8.0,41740,737,-32441.5
737,6.0,41798,738,-38167.5
738,6.0,41840,739,-39680.0
739,8.0,41887,740,-37986.0
740,8.0,41944,741,-31040.0
741,3.0,41999,742,-35620.0
742,9.0,42047,743,-33001.0
743,3.0,42114,744,-29106.5
744,8.0,42172,745,-33852.5
745,9.0,42210,746,-41268.0
746,4.0,42275,747,-34552.0
747,2.0,42323,748,-42317.5
748,6.0,42371,749,-41755.0
749,7.0,42415,750,-45561.5
750,6.0,42454,751,-41001.0
751,4.0,42508,752,-32198.5
752,3.0,42557,753,-38197.5
753,8.0,42625,754,-29344.0
754,8.0,42669,755,-37565.0
755,4.0,42726,756,-32511.5
756,2.0,42782,757,-27431.5
757,9.0,42828,758,-36411.0
758,8.0,42885,759,-34773.5
759,4.0,42929,760,-33759.0
760,7.0,42977,761,-34692.0
761,10.0,43039,762,-35937.0
762,10.0,43088,763,-35707.0
763,7.0,43136,764,-31550.5
764,11.0,43200,765,-26983.5
765,6.0,43256,766,-34058.0
766,8.0,43310,767,-39095.5
767,10.0,43377,768,-26483.5
768,6.0,43428,769,-33231.0
769,12.0,43489,770,-32005.0
770,9.0,43537,771,-36667.0
771,15.0,43606,772,-32130.5
772,6.0,43647,773,-35039.0
773,5.0,43705,774,-29984.5
774,6.0,43771,775,-31197.5
775,8.0,43817,776,-37671.0
776,0.0,43869,777,-36784.5
777,11.0,43924,778,-37943.5
778,1.0,43971,779,-40701.5
779,3.0,44031,780,-35187.5
780,5.0,44089,781,-32761.0
781,8.0,44146,782,-45955.5
782,14.0,44219,783,-28621.0
783,7.0,44284,784,-35621.5
784,5.0,44346,785,-32985.0
785,8.0,44389,786,-38877.5
786,6.0,44451,787,-28667.0
787,3.0,44497,788,-38029.0
788,5.0,44543,789,-39895.5
789,4.0,44588,790,-35553.0
790,8.0,44646,791,-35879.5
791,6.0,44703,792,-39875.5
792,4.0,44754,793,-32666.0
793,3.0,44805,794,-49668.0
794,6.0,44869,795,-30187.0
795,5.0,44907,796,-48180.5
796,10.0,44952,797,-35443.5
797,4.0,45010,798,-33973.5
798,5.0,45045,799,-47929.0
799,6.0,45095,800,-35156.5
800,3.0,45148,801,-36640.0
801,7.0,45217,802,-28157.5
802,5.0,45287,803,-30882.5
803,5.0,45330,804,-42302.5
804,5.0,45381,805,-36023.5
805,7.0,45444,806,-32727.5
806,4.0,45497,807,-35226.0
807,5.0,45535,808,-42086.0
808,10.0,45596,809,-45416.0
809,7.0,45641,810,-36930.5
810,5.0,45693,811,-48408.0
811,5.0,45751,812,-31955.0
812,4.0,45799,813,-36779.0
813,6.0,45847,814,-37339.5
814,7.0,45907,815,-40756.0
815,9.0,45969,816,-35952.0
816,7.0,46036,817,-31656.0
817,6.0,46091,818,-35756.0
818,8.0,46157,819,-31243.0
819,4.0,46204,820,-38762.5
820,10.0,46269,821,-31975.0
821,9.0,46345,822,-45656.0
